sn,Comments,Labels
221,Service was helpful CSA was very knowledgeable and patient.,"Representative ,Representative "
222,He listened to my complicated situation.,"Representative ,Representative "
223,The young man I talked to was so helpful and polite.  He's a good example of what customer service should be like.,"Customer Service ,Representative ,Representative ,Representative "
224,"THE AMBASSADOR OF MASTER CARD THAT I SPOKE WITH WAS VERY NICE TO TALK TOO AND VERY HELPFUL. IT'S RARE THAT I ENJOY TALKING TO SOMEONE ON THE PHONE ABOUT A PROBLEM I THINK THAT COMES FROM DEALING WITH ROGERS CABLE FOR SO MANY YEARS , TO RATE THE CALL IT WOULD BE A 10/10","Issue Resolution ,Representative "
225,"Rebate, customer rep provided thorough explanation","Promotions and Benefits ,Representative "
226,"It's good for security reasons to check identity of people, but it's useless to spend 20min over security questions. Furthermore, once I've been already identified and the problem is said to have been solved, it's frustrating to realize few hours later that, the problem was not solved. I was surprised when I was told that my card was suspended because the transaction I was doing was a big expense!!! However, I had bigger expenses than that in the past.","Credit/Debit Card ,Issue Resolution ,Issue Resolution ,Issue Resolution ,Representative ,Website Security "
227,Provided best customer services,Customer Service 
228,Prompt service. Good value of rewards cash back,"Rewards ,Rewards ,Rewards "
229,Great customer service,Customer Service 
230,Cashback,"Rewards ,Rewards "
231,"I've had the card for a while with a $300 limit and I am traveling to the UK in December., I called to see if I was eligible for a larger line of credit, or if I could prepay the card to increase the limit while I'm away. Both declined. I understand this card is for people with bad credit, I have more than enough income to cover payments etc and don't seem to be getting anywhere with you guys.

I will be paying off my card and closing the account shortly as I can get a different card with larger balance and better service.

Not one I'd recommend.","Account Maintenance & Closing ,Credit/Debit Card ,Customer Service ,Policy ,Representative ,Representative ,Terms "
232,I got a  ABC card to build my credit and I was told by my one year anniversary I would get an increase as it's hard to build credit on a limit of 300. It's been over a year and I've been good with my payments usually paying more then the minimum and before the due date. My credit score has gone up but I havnt received any increase as of yet.  So I'm just not sure this was the best card option for what I'm trying to accomplish.,"Life Events ,Payments ,Policy ,Terms "
233,The lady I dealt with was very kind and understanding. Didn’t make me feel bad,"Representative ,Representative "
234,U guys suck with customer service ! Should of never took a card with u guys ! Had problem with being charge for something i never bought and u refused to cancel and never followed up like u said u would ! So go  f urselfs,Customer Service 
235,"I had automatic payment set up and all of a sudden and for no reason, the automatic payment got disabled. So I missed the payment and interest got charged. I had to call in multiple times to put it back on, get the interest charges reversed and the note put at credit bureau removed. Confidence in your systems is now affected.","Brand ,Issue Resolution ,Life Events ,Payments ,Phone Experience ,Policy ,Policy ,Terms "
